"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","株価騰落【率】(%)","時価総額(百万円)","出来高増加率(倍)"
"1301","極洋","東P","5000","-30.0(-0.60%)","5,000.0","-0.60","60,391","0.63"
"130A","Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ","東G","478","-5.0(-1.04%)","478.0","-1.04","3,101","0.57"
"1332","ニッスイ","東P","1230.0","+13.0(+1.07%)","1,230.0","1.07","384,289","0.80"
"1333","マルハニチロ","東P","1395.0","+0.0(+0.00%)","1,395.0","0.00","211,672","0.66"
"135A","ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ","東G","2700","+36.0(+1.35%)","2,700.0","1.35","27,691","0.40"
"1375","ユキグニファクトリー","東P","1064","-9.0(-0.84%)","1,064.0","-0.84","42,465","1.15"
"1376","カネコ種苗","東S","1507","-25.0(-1.63%)","1,507.0","-1.63","17,741","0.85"
"1377","サカタのタネ","東P","4020","-15.0(-0.37%)","4,020.0","-0.37","182,551","0.57"
"1379","ホクト","東P","2009","-14.0(-0.69%)","2,009.0","-0.69","67,018","1.36"
"137A","Ｃｏｃｏｌｉｖｅ","東G","820","+15.0(+1.86%)","820.0","1.86","2,478","0.76"
"1380","秋川牧園","東S","1010","-1.0(-0.10%)","1,010.0","-0.10","4,221","2.67"
"1381","アクシーズ","東S","4465","-25.0(-0.56%)","4,465.0","-0.56","25,082","0.36"
"1382","ホーブ","東S","1831","+16.0(+0.88%)","1,831.0","0.88","1,395","0.88"
"1383","ベルグアース","東S","3215","+10.0(+0.31%)","3,215.0","0.31","5,188","1.45"
"1384","ホクリヨウ","東S","3135","+30.0(+0.97%)","3,135.0","0.97","26,519","0.80"
"138A","光フードサービス","東G","2848","+13.0(+0.46%)","2,848.0","0.46","2,825","1.13"
"1401","エムビーエス","東G","1511","+11.0(+0.73%)","1,511.0","0.73","11,683","0.23"
"1407","ウエストＨＬＤＧ","東S","1645","+17.0(+1.04%)","1,645.0","1.04","75,715","0.84"
"1414","ショーボンドＨＬＤＧ","東P","1412.5","-7.5(-0.53%)","1,412.5","-0.53","309,310","0.71"
"1417","ミライト・ワン","東P","3823.0","+61.0(+1.62%)","3,823.0","1.62","349,137","1.30"
"1418","インターライフＨＬＤＧ","東S","616","-3.0(-0.48%)","616.0","-0.48","10,478","1.04"
"1419","タマホーム","東P","3715","-15.0(-0.40%)","3,715.0","-0.40","109,428","0.47"
"141A","トライアルＨＬＤＧ","東G","3070","+55.0(+1.82%)","3,070.0","1.82","375,970","0.66"
