,importance
range,32.43892234707189
kairi_75,13.644540702045763
market_return,11.756068741243833
market_sentiment,10.352369528382257
kairi_25,7.856796214341081
turnover_20d_avg,5.172816172471661
bb_pos,3.5482051953278364
dist_from_poc,3.1815365654148824
upper_shadow,3.0177885599694685
rsi_14,2.5970434667900077
vol_ratio,1.7312479783607058
kairi_5,1.556620355560145
return_1d,0.94904122730626
body,0.8359509397034971
relative_strength,0.4989169473548863
perfect_order,0.3797985078512485
liquidity_class,0.37448461394276067
trend_strong,0.07585539229329832
stop_hunt_reversal,0.03199654456851921
