

===== 2026-08-19T08:02:17 START C:\Users\sasit\AppData\Local\Programs\Python\Python310\pythonw.exe D:\kabu\main\1-スクリーニング自動化プログラム\main\空売り無しリスト出しスクリプト.py =====
[karauri] 同日resume: 未完了=3587
[karauri][HTTP] targets=3587 workers=16 retries=1
[karauri][PROGRESS] 1/3587 rate=4.27/s elapsed=0.0m eta=14.0m
[karauri][PROGRESS] 25/3587 rate=22.22/s elapsed=0.0m eta=2.7m
[karauri][PROGRESS] 50/3587 rate=27.82/s elapsed=0.0m eta=2.1m
[karauri][PROGRESS] 75/3587 rate=27.58/s elapsed=0.0m eta=2.1m
[karauri][PROGRESS] 100/3587 rate=27.95/s elapsed=0.1m eta=2.1m
[karauri][PROGRESS] 125/3587 rate=28.47/s elapsed=0.1m eta=2.0m
[karauri][PROGRESS] 150/3587 rate=29.27/s elapsed=0.1m eta=2.0m
[karauri][PROGRESS] 175/3587 rate=29.24/s elapsed=0.1m eta=1.9m
[karauri][PROGRESS] 200/3587 rate=30.40/s elapsed=0.1m eta=1.9m
[karauri][COMMIT] 200/3587 ok=199 fail=1 no_short=15
[karauri][PROGRESS] 225/3587 rate=28.46/s elapsed=0.1m eta=2.0m
[karauri][PROGRESS] 250/3587 rate=29.14/s elapsed=0.1m eta=1.9m
[karauri][PROGRESS] 275/3587 rate=28.80/s elapsed=0.2m eta=1.9m
[karauri][PROGRESS] 300/3587 rate=29.23/s elapsed=0.2m eta=1.9m
[karauri][PROGRESS] 325/3587 rate=29.42/s elapsed=0.2m eta=1.8m
[karauri][PROGRESS] 350/3587 rate=29.24/s elapsed=0.2m eta=1.8m
[karauri][PROGRESS] 375/3587 rate=29.41/s elapsed=0.2m eta=1.8m
[karauri][PROGRESS] 400/3587 rate=29.56/s elapsed=0.2m eta=1.8m
[karauri][COMMIT] 400/3587 ok=399 fail=1 no_short=26
[karauri][PROGRESS] 425/3587 rate=28.97/s elapsed=0.2m eta=1.8m
[karauri][PROGRESS] 450/3587 rate=29.03/s elapsed=0.3m eta=1.8m
[karauri][PROGRESS] 475/3587 rate=29.34/s elapsed=0.3m eta=1.8m
[karauri][PROGRESS] 500/3587 rate=29.09/s elapsed=0.3m eta=1.8m
[karauri][PROGRESS] 525/3587 rate=29.04/s elapsed=0.3m eta=1.8m
[karauri][PROGRESS] 550/3587 rate=29.41/s elapsed=0.3m eta=1.7m
[karauri][PROGRESS] 575/3587 rate=29.49/s elapsed=0.3m eta=1.7m
[karauri][PROGRESS] 600/3587 rate=29.72/s elapsed=0.3m eta=1.7m
[karauri][COMMIT] 600/3587 ok=599 fail=1 no_short=38
[karauri][PROGRESS] 625/3587 rate=29.50/s elapsed=0.4m eta=1.7m
[karauri][PROGRESS] 650/3587 rate=29.40/s elapsed=0.4m eta=1.7m
[karauri][PROGRESS] 675/3587 rate=30.00/s elapsed=0.4m eta=1.6m
[karauri][PROGRESS] 700/3587 rate=30.07/s elapsed=0.4m eta=1.6m
[karauri][PROGRESS] 725/3587 rate=30.33/s elapsed=0.4m eta=1.6m
[karauri][PROGRESS] 750/3587 rate=30.44/s elapsed=0.4m eta=1.6m
[karauri][PROGRESS] 775/3587 rate=30.58/s elapsed=0.4m eta=1.5m
[karauri][PROGRESS] 800/3587 rate=30.81/s elapsed=0.4m eta=1.5m
[karauri][COMMIT] 800/3587 ok=798 fail=2 no_short=57
[karauri][PROGRESS] 825/3587 rate=30.66/s elapsed=0.4m eta=1.5m
[karauri][PROGRESS] 850/3587 rate=30.39/s elapsed=0.5m eta=1.5m
[karauri][PROGRESS] 875/3587 rate=30.69/s elapsed=0.5m eta=1.5m
